,question,distractor3,distractor1,distractor2,correct_answer,support,answer,question_with_text,choice_list,label,predicted_index,predicted_answer
10,About how tall can mid-ocean ridges be?,2 inches,about 2 meters,about 2 feet,about 2 km,"Besides seamounts, there are long, very tall (about 2 km) mountain ranges. These ranges are connected so that they form huge ridge systems called mid-ocean ridges ( Figure below ). The mid-ocean ridges form from volcanic eruptions. Lava from inside Earth breaks through the crust and creates the mountains.",about 2 km,"Question: About how tall can mid-ocean ridges be?. Supporting Text: Besides seamounts, there are long, very tall (about 2 km) mountain ranges. These ranges are connected so that they form huge ridge systems called mid-ocean ridges ( Figure below ). The mid-ocean ridges form from volcanic eruptions. Lava from inside Earth breaks through the crust and creates the mountains..",['2 inches' 'about 2 feet' 'about 2 meters' 'about 2 km'],3,3,about 2 km
11,What are by far the most common type of invertebrate?,corals,spiders,crustaceans,insects,"This Monarch caterpillar is an invertebrate. It is also an insect and an arthropod. Of all the animal species, it is estimated that well over 90% are invertebrates. Of all invertebrates, the insects are by far the most numerous. There are so many species of insects that scientists have yet to discover them all, let alone name or count them. Estimates of the total number of insect species fall in the range of 1 to 30 million. So, it helps if there are methods to classify not just the insects, but all invertebrates.",insects,"Question: What are by far the most common type of invertebrate?. Supporting Text: This Monarch caterpillar is an invertebrate. It is also an insect and an arthropod. Of all the animal species, it is estimated that well over 90% are invertebrates. Of all invertebrates, the insects are by far the most numerous. There are so many species of insects that scientists have yet to discover them all, let alone name or count them. Estimates of the total number of insect species fall in the range of 1 to 30 million. So, it helps if there are methods to classify not just the insects, but all invertebrates..",['corals' 'crustaceans' 'spiders' 'insects'],3,3,insects
12,What do waves deposit to form sandbars and barrier islands?,glaciers,magma,organisms,sediments,Waves may also deposit sediments to form sandbars and barrier islands . You can see examples of these landforms in Figure below .,sediments,Question: What do waves deposit to form sandbars and barrier islands?. Supporting Text: Waves may also deposit sediments to form sandbars and barrier islands . You can see examples of these landforms in Figure below ..,['glaciers' 'organisms' 'magma' 'sediments'],3,3,sediments
13,"Penis, testes, and epididymis are organs in what system?",female reproductive system​,virus reproductive system​,plant reproductive system​,male reproductive system,"Male reproductive organs include the penis, testes, and epididymis.",male reproductive system,"Question: Penis, testes, and epididymis are organs in what system?. Supporting Text: Male reproductive organs include the penis, testes, and epididymis..","['female reproductive system\u200b' 'plant reproductive system\u200b'
 'virus reproductive system\u200b' 'male reproductive system']",3,3,male reproductive system
14,"Only about one percent of plants have lost what ability, turning them into consumers and even predators, instead of producers?",growth,flowering,rooting,photosynthesis,"Almost all plants make food by photosynthesis . Only about 1 percent of the estimated 300,000 species of plants have lost the ability to photosynthesize. These other species are consumers, many of them predators. How do plants prey on other organisms? The Venus fly trap in Figure below shows one way this occurs.",photosynthesis,"Question: Only about one percent of plants have lost what ability, turning them into consumers and even predators, instead of producers?. Supporting Text: Almost all plants make food by photosynthesis . Only about 1 percent of the estimated 300,000 species of plants have lost the ability to photosynthesize. These other species are consumers, many of them predators. How do plants prey on other organisms? The Venus fly trap in Figure below shows one way this occurs..",['growth' 'rooting' 'flowering' 'photosynthesis'],3,3,photosynthesis
15,How does a neon light produce visible light?,mitosis,luminescence,radiation,electroluminescence,"A neon light produces visible light by electroluminescence. The bulb is a glass tube that contains the noble gas neon. When electricity passes through the gas, it excites electrons of neon atoms, causing them to give off visible light. Neon produces red light. Other noble gases are also used in lights, and they produce light of different colors. For example, krypton produces violet light, and argon produces blue light.",electroluminescence,"Question: How does a neon light produce visible light?. Supporting Text: A neon light produces visible light by electroluminescence. The bulb is a glass tube that contains the noble gas neon. When electricity passes through the gas, it excites electrons of neon atoms, causing them to give off visible light. Neon produces red light. Other noble gases are also used in lights, and they produce light of different colors. For example, krypton produces violet light, and argon produces blue light..",['mitosis' 'radiation' 'luminescence' 'electroluminescence'],3,3,electroluminescence
16,The bird ancestor that lived in trees developed what feature commonly associated with birds?,beaks,tails,webbed feet,wings,"Wings evolved in a bird ancestor that lived in trees. Thus, wings are modified arms that helped the animal glide from branch to branch.",wings,"Question: The bird ancestor that lived in trees developed what feature commonly associated with birds?. Supporting Text: Wings evolved in a bird ancestor that lived in trees. Thus, wings are modified arms that helped the animal glide from branch to branch..",['beaks' 'webbed feet' 'tails' 'wings'],3,3,wings
17,What do most living things use to make atp from glucose?,nitrogen,enzymes,carbon,oxygen,"Today, most living things use oxygen to make ATP from glucose. However, many living things can also make ATP without oxygen. This is true of some plants and fungi and also of many bacteria. These organisms use aerobic respiration when oxygen is present, but when oxygen is in short supply, they use anaerobic respiration instead. Certain bacteria can only use anaerobic respiration. In fact, they may not be able to survive at all in the presence of oxygen.",oxygen,"Question: What do most living things use to make atp from glucose?. Supporting Text: Today, most living things use oxygen to make ATP from glucose. However, many living things can also make ATP without oxygen. This is true of some plants and fungi and also of many bacteria. These organisms use aerobic respiration when oxygen is present, but when oxygen is in short supply, they use anaerobic respiration instead. Certain bacteria can only use anaerobic respiration. In fact, they may not be able to survive at all in the presence of oxygen..",['nitrogen' 'carbon' 'enzymes' 'oxygen'],3,3,oxygen
18,What are the two most common silicates?,Micas	 and quartz,Olivine and quartz,Micas	 and feldspar,feldspar and quartz,"Feldspar and quartz are the two most common silicates. In beryl, the silicate pyramids join together as rings. Biotite is mica. It can be broken apart into thin, flexible sheets. Compare the beryl and the biotite shown in Figure below .",feldspar and quartz,"Question: What are the two most common silicates?. Supporting Text: Feldspar and quartz are the two most common silicates. In beryl, the silicate pyramids join together as rings. Biotite is mica. It can be broken apart into thin, flexible sheets. Compare the beryl and the biotite shown in Figure below ..","['Micas\t and quartz' 'Micas\t and feldspar' 'Olivine and quartz'
 'feldspar and quartz']",3,3,feldspar and quartz
19,What term means the amount of water vapor in the air?,ambient,temperature,pressure,humidity,Humidity is the amount of water vapor in the air. High humidity increases the chances of clouds and precipitation.,humidity,Question: What term means the amount of water vapor in the air?. Supporting Text: Humidity is the amount of water vapor in the air. High humidity increases the chances of clouds and precipitation..,['ambient' 'pressure' 'temperature' 'humidity'],3,3,humidity
20,Paracrine signals move by what method through the extracellular matrix?,transfusion,osmosis,deposition,diffusion,"Paracrine Signaling Signals that act locally between cells that are close together are called paracrine signals. Paracrine signals move by diffusion through the extracellular matrix. These types of signals usually elicit quick responses that last only a short amount of time. In order to keep the response localized, paracrine ligand molecules are normally quickly degraded by enzymes or removed by neighboring cells. Removing the signals will reestablish the concentration gradient for the signal, allowing them to quickly diffuse through the intracellular space if released again. One example of paracrine signaling is the transfer of signals across synapses between nerve cells. A nerve cell consists of a cell body, several short, branched extensions called dendrites that receive stimuli, and a long extension called an axon, which transmits signals to other nerve cells or muscle cells. The junction between nerve cells where signal transmission occurs is called a synapse. A synaptic signal is a chemical signal that travels between nerve cells. Signals within the nerve cells are propagated by fast-moving electrical impulses. When these impulses reach the end of the axon, the signal continues on to a dendrite of the next cell by the release of chemical ligands called neurotransmitters by the presynaptic cell (the cell emitting the signal). The neurotransmitters are transported across the very small distances between nerve cells, which are called chemical synapses (Figure 9.3). The small distance between nerve cells allows the signal to travel quickly; this enables an immediate response, such as, Take your hand off the stove! When the neurotransmitter binds the receptor on the surface of the postsynaptic cell, the electrochemical potential of the target cell changes, and the next electrical impulse is launched. The neurotransmitters that are released into the chemical synapse are degraded quickly or get reabsorbed by the presynaptic cell so that the recipient nerve cell can recover quickly and be prepared to respond rapidly to the next synaptic signal.",diffusion,"Question: Paracrine signals move by what method through the extracellular matrix?. Supporting Text: Paracrine Signaling Signals that act locally between cells that are close together are called paracrine signals. Paracrine signals move by diffusion through the extracellular matrix. These types of signals usually elicit quick responses that last only a short amount of time. In order to keep the response localized, paracrine ligand molecules are normally quickly degraded by enzymes or removed by neighboring cells. Removing the signals will reestablish the concentration gradient for the signal, allowing them to quickly diffuse through the intracellular space if released again. One example of paracrine signaling is the transfer of signals across synapses between nerve cells. A nerve cell consists of a cell body, several short, branched extensions called dendrites that receive stimuli, and a long extension called an axon, which transmits signals to other nerve cells or muscle cells. The junction between nerve cells where signal transmission occurs is called a synapse. A synaptic signal is a chemical signal that travels between nerve cells. Signals within the nerve cells are propagated by fast-moving electrical impulses. When these impulses reach the end of the axon, the signal continues on to a dendrite of the next cell by the release of chemical ligands called neurotransmitters by the presynaptic cell (the cell emitting the signal). The neurotransmitters are transported across the very small distances between nerve cells, which are called chemical synapses (Figure 9.3). The small distance between nerve cells allows the signal to travel quickly; this enables an immediate response, such as, Take your hand off the stove! When the neurotransmitter binds the receptor on the surface of the postsynaptic cell, the electrochemical potential of the target cell changes, and the next electrical impulse is launched. The neurotransmitters that are released into the chemical synapse are degraded quickly or get reabsorbed by the presynaptic cell so that the recipient nerve cell can recover quickly and be prepared to respond rapidly to the next synaptic signal..",['transfusion' 'deposition' 'osmosis' 'diffusion'],3,3,diffusion
21,"Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?",heterotroph,animal,reproductive,plant,"All but one of the structures described above are found in plant cells as well as animal cells. The only exception is centrioles, which are not found in plant cells. Plant cells have three additional structures that are not found in animals cells. These include a cell wall, large central vacuole, and organelles called plastids. You can see these structures in the model of a plant cell in Figure below . You can also see them in the interactive plant cell at this link:.",plant,"Question: Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?. Supporting Text: All but one of the structures described above are found in plant cells as well as animal cells. The only exception is centrioles, which are not found in plant cells. Plant cells have three additional structures that are not found in animals cells. These include a cell wall, large central vacuole, and organelles called plastids. You can see these structures in the model of a plant cell in Figure below . You can also see them in the interactive plant cell at this link:..",['heterotroph' 'reproductive' 'animal' 'plant'],3,3,plant
22,What happens when mammals raise their hair with tiny muscles in the skin?,bruising,bleeding,balding,goosebumps,"Mammals raise their hair with tiny muscles in the skin. Even humans automatically contract these muscles when they are cold. They cause “goosebumps,” as shown here.",goosebumps,"Question: What happens when mammals raise their hair with tiny muscles in the skin?. Supporting Text: Mammals raise their hair with tiny muscles in the skin. Even humans automatically contract these muscles when they are cold. They cause “goosebumps,” as shown here..",['bruising' 'balding' 'bleeding' 'goosebumps'],3,3,goosebumps
23,What are people with osteoporosis at increased risk of?,growth spurt,epilepsy,senility,bone fractures,"For a long time, scientists considered fungi to be members of the plant kingdom because they have obvious similarities with plants. Both fungi and plants are immobile, have cell walls, and grow in soil. Some fungi, such as lichens , even look like plants (see Figure below ).",bone fractures,"Question: What are people with osteoporosis at increased risk of?. Supporting Text: For a long time, scientists considered fungi to be members of the plant kingdom because they have obvious similarities with plants. Both fungi and plants are immobile, have cell walls, and grow in soil. Some fungi, such as lichens , even look like plants (see Figure below )..",['growth spurt' 'senility' 'epilepsy' 'bone fractures'],3,0,growth spurt
24,Where is energy stored in a chemical substance?,inside atoms,on the surface,in molecules,between atoms,energy that is stored in the connections between atoms in a chemical substance.,between atoms,Question: Where is energy stored in a chemical substance?. Supporting Text: energy that is stored in the connections between atoms in a chemical substance..,['inside atoms' 'in molecules' 'on the surface' 'between atoms'],3,3,between atoms
25,"By the year 2050, 25 percent of the population of the united states will be 60 years of age or older. the cdc estimates that 80 percent of those 60 years and older have one or more chronic disease associated with deficiencies of this?",blood vessels,respiratory system,cardiovascular system,immune system,"Immune System By the year 2050, 25 percent of the population of the United States will be 60 years of age or older. The CDC estimates that 80 percent of those 60 years and older have one or more chronic disease associated with deficiencies of the immune systems. This loss of immune function with age is called immunosenescence. To treat this growing population, medical professionals must better understand the aging process. One major cause of age-related immune deficiencies is thymic involution, the shrinking of the thymus gland that begins at birth, at a rate of about three percent tissue loss per year, and continues until 35–45 years of age, when the rate declines to about one percent loss per year for the rest of one’s life. At that pace, the total loss of thymic epithelial tissue and thymocytes would occur at about 120 years of age. Thus, this age is a theoretical limit to a healthy human lifespan. Thymic involution has been observed in all vertebrate species that have a thymus gland. Animal studies have shown that transplanted thymic grafts between inbred strains of mice involuted according to the age of the donor and not of the recipient, implying the process is genetically programmed. There is evidence that the thymic microenvironment, so vital to the development of naïve T cells, loses thymic epithelial cells according to the decreasing expression of the FOXN1 gene with age. It is also known that thymic involution can be altered by hormone levels. Sex hormones such as estrogen and testosterone enhance involution, and the hormonal changes in pregnant women cause a temporary thymic involution that reverses itself, when the size of the thymus and its hormone levels return to normal, usually after lactation ceases. What does all this tell us? Can we reverse immunosenescence, or at least slow it down? The potential is there for using thymic transplants from younger donors to keep thymic output of naïve T cells high. Gene therapies that target gene expression are also seen as future possibilities. The more we learn through immunosenescence research, the more opportunities there will be to develop therapies, even though these therapies will likely take decades to develop. The ultimate goal is for everyone to live and be healthy longer, but there may be limits to immortality imposed by our genes and hormones.",immune system,"Question: By the year 2050, 25 percent of the population of the united states will be 60 years of age or older. the cdc estimates that 80 percent of those 60 years and older have one or more chronic disease associated with deficiencies of this?. Supporting Text: Immune System By the year 2050, 25 percent of the population of the United States will be 60 years of age or older. The CDC estimates that 80 percent of those 60 years and older have one or more chronic disease associated with deficiencies of the immune systems. This loss of immune function with age is called immunosenescence. To treat this growing population, medical professionals must better understand the aging process. One major cause of age-related immune deficiencies is thymic involution, the shrinking of the thymus gland that begins at birth, at a rate of about three percent tissue loss per year, and continues until 35–45 years of age, when the rate declines to about one percent loss per year for the rest of one’s life. At that pace, the total loss of thymic epithelial tissue and thymocytes would occur at about 120 years of age. Thus, this age is a theoretical limit to a healthy human lifespan. Thymic involution has been observed in all vertebrate species that have a thymus gland. Animal studies have shown that transplanted thymic grafts between inbred strains of mice involuted according to the age of the donor and not of the recipient, implying the process is genetically programmed. There is evidence that the thymic microenvironment, so vital to the development of naïve T cells, loses thymic epithelial cells according to the decreasing expression of the FOXN1 gene with age. It is also known that thymic involution can be altered by hormone levels. Sex hormones such as estrogen and testosterone enhance involution, and the hormonal changes in pregnant women cause a temporary thymic involution that reverses itself, when the size of the thymus and its hormone levels return to normal, usually after lactation ceases. What does all this tell us? Can we reverse immunosenescence, or at least slow it down? The potential is there for using thymic transplants from younger donors to keep thymic output of naïve T cells high. Gene therapies that target gene expression are also seen as future possibilities. The more we learn through immunosenescence research, the more opportunities there will be to develop therapies, even though these therapies will likely take decades to develop. The ultimate goal is for everyone to live and be healthy longer, but there may be limits to immortality imposed by our genes and hormones..","['blood vessels' 'cardiovascular system' 'respiratory system'
 'immune system']",3,3,immune system
26,"Upon death of an organism, during composition, what returns to the soil as ammonium ions?",hydrogen,potasium,calcium,nitrogen,"When organisms die and decompose, their nitrogen is returned to the soil as ammonium ions. Nitrifying bacteria change some of the ammonium ions into nitrates.",nitrogen,"Question: Upon death of an organism, during composition, what returns to the soil as ammonium ions?. Supporting Text: When organisms die and decompose, their nitrogen is returned to the soil as ammonium ions. Nitrifying bacteria change some of the ammonium ions into nitrates..",['hydrogen' 'calcium' 'potasium' 'nitrogen'],3,3,nitrogen
27,Most insects reproduce quickly and through what type of reproduction?,asexual reproduction,spores,photosynthesis,sexual reproduction,"Most insects can reproduce very quickly within a short period of time. With a short generation time, they evolve faster and can quickly adjust to environmental changes. Most insects reproduce by sexual reproduction . The female produces eggs, which are fertilized by the male, and then the eggs are usually placed near the required food. In some insects, there is asexual reproduction during which the offspring come from a single parent. In this type of reproduction, the offspring are almost identical to the mother. This is most often seen in aphids and scale insects.",sexual reproduction,"Question: Most insects reproduce quickly and through what type of reproduction?. Supporting Text: Most insects can reproduce very quickly within a short period of time. With a short generation time, they evolve faster and can quickly adjust to environmental changes. Most insects reproduce by sexual reproduction . The female produces eggs, which are fertilized by the male, and then the eggs are usually placed near the required food. In some insects, there is asexual reproduction during which the offspring come from a single parent. In this type of reproduction, the offspring are almost identical to the mother. This is most often seen in aphids and scale insects..",['asexual reproduction' 'photosynthesis' 'spores' 'sexual reproduction'],3,3,sexual reproduction
28,Digestion of proteins begins with acids in what organ?,brain,colon,liver,stomach,"24.4 Protein Metabolism Digestion of proteins begins in the stomach, where HCl and pepsin begin the process of breaking down proteins into their constituent amino acids. As the chyme enters the small intestine, it mixes with bicarbonate and digestive enzymes. The bicarbonate neutralizes the acidic HCl, and the digestive enzymes break down the proteins into smaller peptides and amino acids. Digestive hormones secretin and CCK are released from the small intestine to aid in digestive processes, and digestive proenzymes are released from the pancreas (trypsinogen and chymotrypsinogen). Enterokinase, an enzyme located in the wall of the small intestine, activates trypsin, which in turn activates chymotrypsin. These enzymes liberate the individual amino acids that are then transported via sodium-amino acid transporters across the intestinal wall into the cell. The amino acids are then transported into the bloodstream for dispersal to the liver and cells throughout the body to be used to create new proteins. When in excess, the amino acids are processed and stored as glucose or ketones. The nitrogen waste that is liberated in this process is converted to urea in the urea acid cycle and eliminated in the urine. In times of starvation, amino acids can be used as an energy source and processed through the Krebs cycle.",stomach,"Question: Digestion of proteins begins with acids in what organ?. Supporting Text: 24.4 Protein Metabolism Digestion of proteins begins in the stomach, where HCl and pepsin begin the process of breaking down proteins into their constituent amino acids. As the chyme enters the small intestine, it mixes with bicarbonate and digestive enzymes. The bicarbonate neutralizes the acidic HCl, and the digestive enzymes break down the proteins into smaller peptides and amino acids. Digestive hormones secretin and CCK are released from the small intestine to aid in digestive processes, and digestive proenzymes are released from the pancreas (trypsinogen and chymotrypsinogen). Enterokinase, an enzyme located in the wall of the small intestine, activates trypsin, which in turn activates chymotrypsin. These enzymes liberate the individual amino acids that are then transported via sodium-amino acid transporters across the intestinal wall into the cell. The amino acids are then transported into the bloodstream for dispersal to the liver and cells throughout the body to be used to create new proteins. When in excess, the amino acids are processed and stored as glucose or ketones. The nitrogen waste that is liberated in this process is converted to urea in the urea acid cycle and eliminated in the urine. In times of starvation, amino acids can be used as an energy source and processed through the Krebs cycle..",['brain' 'liver' 'colon' 'stomach'],3,3,stomach
